City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
381,Ewa Beach,US,82.4,few clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
390,Eyl,SO,79.29,overcast clouds,7.98,49.82,Amiin Hotel
393,Bubaque,GW,81.81,broken clouds,11.28,-15.83,Casa Dora - Mango Lodge
399,Kalmunai,LK,80.28,overcast clouds,7.42,81.82,VS Villa
400,Buala,SB,79.21,clear sky,-8.14,159.59,Maringe Lagoon Lodge
402,Port Blair,IN,80.58,overcast clouds,11.67,92.75,Fortune Resort Bay Island
414,Madhipura,IN,77.77,overcast clouds,25.92,86.78,SPOT ON 64083 Hotel Ganga
416,Sisophon,KH,76.64,overcast clouds,13.59,102.97,Pyramid Hotel
424,Kilindoni,TZ,77.79,clear sky,-7.91,39.67,Bustani B&B
426,Sur,OM,84.47,clear sky,22.57,59.53,Sur Plaza Hotel
427,Warah,PK,82.02,clear sky,27.45,67.8,Nizamuddin Lohaar Home Soomra Muhallah Bhittai Colony Warah.
428,Bosconia,CO,88.16,broken clouds,9.97,-73.88,Hotel Jorlin
431,Alibag,IN,80.6,haze,18.64,72.88,"Radisson Blu Resort & Spa - Alibaug, India"
436,Carutapera,BR,86.05,overcast clouds,-1.2,-46.02,Lidera
438,Singaraja,ID,78.22,broken clouds,-8.11,115.09,Puri Bagus Lovina Resort
442,Davila,PH,77.0,few clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
443,Beba,CU,87.8,broken clouds,22.44,-79.73,Hostal Cubaustria
444,Axim,GH,76.14,clear sky,4.87,-2.24,AXIM BEACH RESORT AND SPA
451,Laguna,US,86.0,haze,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
457,Gunjur,GM,84.2,scattered clouds,13.2,-16.73,Kuba Lodge
460,Darnah,LY,84.54,overcast clouds,32.77,22.64,زاوية الرفاعي
462,Sao Miguel Do Guama,BR,86.72,light rain,-1.63,-47.48,Hotel Rio Guamá
464,Nabire,ID,76.03,moderate rain,-3.37,135.48,Hotel Nusantara Nabire
466,Kombissiri,BF,84.2,thunderstorm,12.07,-1.34,Mitibkieta Annexe
471,Matara,LK,78.6,overcast clouds,5.95,80.54,Amaloh Boutique Resort
475,Mae Sai,TH,77.0,broken clouds,20.43,99.88,Piyaporn Hill Paradise Hotel
480,Del Rio,US,84.2,clear sky,29.36,-100.9,Holiday Inn Express & Suites del Rio
481,Makakilo City,US,82.4,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
482,Guerrero Negro,MX,89.51,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
483,Nishihara,JP,78.8,broken clouds,26.18,127.76,Minshuku Agaihama
484,Dawei,MM,75.74,overcast clouds,14.08,98.2,Hotel Dawei
485,Kieta,PG,77.58,clear sky,-6.22,155.63,
486,Anloga,GH,80.6,scattered clouds,5.79,0.9,Pin Drop Hotel
489,Riyadh,SA,84.2,clear sky,24.69,46.72,InterContinental Riyadh
490,Sibolga,ID,78.28,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
492,Praya,CV,80.6,broken clouds,14.92,-23.51,LT Aparthotel
493,Muisne,EC,78.8,broken clouds,0.6,-80.03,Quinta Samay
498,Talhar,PK,80.08,clear sky,24.88,68.82,Electrical department Bawany
499,Boyuibe,BO,85.24,clear sky,-20.42,-63.28,Residencial Eluzai
500,Santa Rosa,PH,80.01,scattered clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
501,Magdalena,PH,80.01,scattered clouds,14.2,121.43,Bahay Ni Luz Bed & Breakfast
503,Bara,NG,76.86,scattered clouds,10.37,10.73,
507,Mbini,GQ,80.6,scattered clouds,1.57,9.61,
511,Ambon,ID,78.78,moderate rain,-3.7,128.18,Swiss-Belhotel Ambon
514,Santa Isabel,BR,78.8,overcast clouds,-23.32,-46.22,Chácara Sombra do Altíssimo
517,Calama,CL,80.6,clear sky,-22.47,-68.93,Park Hotel Calama
520,Wukari,NG,75.6,clear sky,7.85,9.78,Elimtop
527,Eydhafushi,MV,81.7,light rain,5.1,73.07,Soneva Fushi
528,Trinidad,BO,82.4,thunderstorm with heavy rain,-14.83,-64.9,Hotel Piesta
532,Teresa,PH,80.01,scattered clouds,14.58,121.23,Real Cove Resort
534,Marsa Matruh,EG,77.0,clear sky,31.35,27.25,Beau Site
538,Barra Dos Coqueiros,BR,82.4,clear sky,-10.91,-37.04,Quality Hotel Aracaju
540,Chopda,IN,77.85,overcast clouds,21.25,75.3,पवन टेलर
542,Basudebpur,IN,79.48,scattered clouds,21.14,86.74,Basudevpur Ice Factory
545,Vitina,BA,80.6,few clouds,43.24,17.48,Adria centar Koćuša
547,Omboue,GA,77.45,overcast clouds,-1.57,9.26,Hotel Olako
548,Cabinda,AO,76.77,overcast clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
550,Puerto Del Rosario,ES,75.2,scattered clouds,28.5,-13.86,Hotel JM Puerto del Rosario
556,Alice Springs,AU,80.6,clear sky,-23.7,133.88,Desert Palms Alice Springs
563,Falan,CO,76.39,overcast clouds,5.12,-74.95,Finca Agroturística VillaMARÍA
568,Gamba,GA,77.47,overcast clouds,-2.65,10.0,
574,Dhidhdhoo,MV,81.66,overcast clouds,6.88,73.1,Dhidhoo beach
575,Lucea,JM,89.6,few clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
576,Bukene,TZ,79.54,broken clouds,-4.23,32.88,New Millenium Lodge
579,Marechal Deodoro,BR,80.6,broken clouds,-9.71,-35.9,santoriniflats
581,Riohacha,CO,81.59,overcast clouds,11.54,-72.91,Hotel Taroa
586,Biltine,TD,89.13,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
589,Iracoubo,GF,83.86,overcast clouds,5.48,-53.2,Le Gite D Iracoubo
591,Rosita,NI,88.72,overcast clouds,13.93,-84.4,Colonia Cristo Rey
592,Pundaguitan,PH,83.25,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
595,Bhimunipatnam,IN,80.6,mist,17.88,83.43,Bheemili Court
597,Cocobeach,GA,80.6,scattered clouds,1.0,9.58,Hôtel A Cocobeach
599,La Romana,DO,87.8,scattered clouds,18.43,-68.97,Casa de Campo Resort and Villas
604,Turayf,SA,75.2,clear sky,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
607,Talara,PE,82.4,clear sky,-4.58,-81.27,Hostal Oro Negro
612,Cockburn Town,TC,87.8,scattered clouds,21.46,-71.14,Osprey Beach Hotel
613,Guarapari,BR,84.0,clear sky,-20.67,-40.5,Hotel Porto do Sol
614,Tepatlaxco,MX,87.8,few clouds,19.07,-96.84,CASA GARCIA MONTIEL
615,Labuhan,ID,79.14,clear sky,-6.88,112.21,bador sepret
617,Manga,BF,80.29,clear sky,11.66,-1.07,Auberge Somkieta
619,Kalawit,PH,78.82,light rain,8.07,122.52,Ompoy Pension House
623,Mecca,SA,83.35,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
628,Wichian Buri,TH,75.96,overcast clouds,15.66,101.11,Mit Sali Hotel
634,Pamekasan,ID,80.01,overcast clouds,-7.16,113.47,OYO 3027 Griya Temenggungan Syariah
639,San Juan Nepomuceno,CO,83.53,light rain,9.95,-75.08,HOTEL ALCAZAR DE LUCAS
640,Sri Aman,MY,75.2,moderate rain,1.24,111.46,Seri Simanggang Hotel
653,Pringsewu,ID,75.83,light rain,-5.36,104.97,Urban Style by Front One
657,Kismayo,SO,78.66,overcast clouds,-0.36,42.55,Agan-Hotel
658,Gigmoto,PH,80.02,overcast clouds,13.78,124.39,Cj's Travellers Inn
659,Gorontalo,ID,75.7,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
666,Santa Brigida,ES,75.0,light rain,28.03,-15.5,Hotel Escuela Santa Brígida
669,Bogande,BF,79.9,moderate rain,12.97,-0.14,Auberge Wendkouni
674,Goure,NE,84.0,overcast clouds,13.98,10.27,
684,Abu Kamal,SY,75.97,clear sky,34.45,40.92,محطة التلفاز
